Data;Banca;Horário ;Premio;Milhar ;Centena;Grupo;Bicho
19/06/2026;PPT;09:30;1º;2826;826;7;Carneiro
19/06/2026;PPT;09:30;2º;3441;441;11;Cavalo
19/06/2026;PPT;09:30;3º;3529;529;8;Camelo
19/06/2026;PPT;09:30;4º;5383;383;21;Touro
19/06/2026;PPT;09:30;5º;9907;907;2;Águia
19/06/2026;PTM;11:30;1º;8628;628;7;Carneiro
19/06/2026;PTM;11:30;2º;8377;377;20;Peru
19/06/2026;PTM;11:30;3º;2045;45;12;Elefante
19/06/2026;PTM;11:30;4º;1752;752;13;Galo
19/06/2026;PTM;11:30;5º;228;228;7;Carneiro
19/06/2026;PT;14:30;1º;4592;592;23;Urso
19/06/2026;PT;14:30;2º;553;553;14;Gato
19/06/2026;PT;14:30;3º;4633;633;9;Cobra
19/06/2026;PT;14:30;4º;9643;643;11;Cavalo
19/06/2026;PT;14:30;5º;1089;89;23;Urso
19/06/2026;PTV;16:30;1º;5958;958;15;Jacaré
19/06/2026;PTV;16:30;2º;8577;577;20;Peru
19/06/2026;PTV;16:30;3º;1761;761;16;Leão
19/06/2026;PTV;16:30;4º;7810;810;3;Burro
19/06/2026;PTV;16:30;5º;5412;412;3;Burro
19/06/2026;PTN;18:30;1º;8624;624;6;Cabra
19/06/2026;PTN;18:30;2º;7930;930;8;Camelo
19/06/2026;PTN;18:30;3º;8450;450;13;Galo
19/06/2026;PTN;18:30;4º;8225;225;7;Carneiro
19/06/2026;PTN;18:30;5º;7117;117;5;Cachorro
19/06/2026;PPT;09:30;1º;2826;826;7;Carneiro
19/06/2026;PPT;09:30;2º;3441;441;11;Cavalo
19/06/2026;PPT;09:30;3º;3529;529;8;Camelo
19/06/2026;PPT;09:30;4º;5383;383;21;Touro
19/06/2026;PPT;09:30;5º;9907;907;2;Águia
19/06/2026;PTM;11:30;1º;8628;628;7;Carneiro
19/06/2026;PTM;11:30;2º;8377;377;20;Peru
19/06/2026;PTM;11:30;3º;2045;45;12;Elefante
19/06/2026;PTM;11:30;4º;1752;752;13;Galo
19/06/2026;PTM;11:30;5º;228;228;7;Carneiro
19/06/2026;PT;14:30;1º;4592;592;23;Urso
19/06/2026;PT;14:30;2º;553;553;14;Gato
19/06/2026;PT;14:30;3º;4633;633;9;Cobra
19/06/2026;PT;14:30;4º;9643;643;11;Cavalo
19/06/2026;PT;14:30;5º;1089;89;23;Urso
19/06/2026;PTV;16:30;1º;5958;958;15;Jacaré
19/06/2026;PTV;16:30;2º;8577;577;20;Peru
19/06/2026;PTV;16:30;3º;1761;761;16;Leão
19/06/2026;PTV;16:30;4º;7810;810;3;Burro
19/06/2026;PTV;16:30;5º;5412;412;3;Burro
19/06/2026;PTN;18:30;1º;8624;624;6;Cabra
19/06/2026;PTN;18:30;2º;7930;930;8;Camelo
19/06/2026;PTN;18:30;3º;8450;450;13;Galo
19/06/2026;PTN;18:30;4º;8225;225;7;Carneiro
19/06/2026;PTN;18:30;5º;7117;117;5;Cachorro
19/06/2026;CORUJA;21:30;1º;3047;47;12;Elefante
19/06/2026;CORUJA;21:30;2º;2002;2;1;Avestruz
19/06/2026;CORUJA;21:30;3º;5105;105;2;Águia
19/06/2026;CORUJA;21:30;4º;2201;201;1;Avestruz
19/06/2026;CORUJA;21:30;5º;2243;243;11;Cavalo
20/06/2026;PPT;09:30;1º;1592;592;23;Urso
20/06/2026;PPT;09:30;2º;442;442;11;Cavalo
20/06/2026;PPT;09:30;3º;2513;513;4;Borboleta
20/06/2026;PPT;09:30;4º;2888;888;22;Tigre
20/06/2026;PPT;09:30;5º;7720;720;5;Cachorro
10/07/2026;PPT;09:30;1º;8591;591;23;Urso
10/07/2026;PPT;09:30;2º;4945;945;12;Elefante
10/07/2026;PPT;09:30;3º;3714;714;4;Borboleta
10/07/2026;PPT;09:30;4º;4351;351;13;Galo
10/07/2026;PPT;09:30;5º;6986;986;22;Tigre
10/07/2026;PTM;11:30;1º;5015;15;4;Borboleta
10/07/2026;PTM;11:30;2º;1456;456;14;Gato
10/07/2026;PTM;11:30;3º;358;358;15;Jacaré
10/07/2026;PTM;11:30;4º;3617;617;5;Cachorro
10/07/2026;PTM;11:30;5º;7298;298;25;Vaca
10/07/2026;PT;14:30;1º;346;346;12;Elefante
10/07/2026;PT;14:30;2º;9263;263;16;Leão
